"file","obj_fun","fhist","scenario","optimised","group","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness_improvement"
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","syc2",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.22424,0.28824,0.1504,0.07212,394.486555076302,0.0496168532967511,70.6351620107202,1.86041035173872,0.32686332146163,0.577386956987653,0.244350761363252,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","arg",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.28412,0.36592,0.19872,0.0992,329.223188165578,0.059037013843865,71.1969120869639,1.49359508056528,0.3766538479111,0.609865250092546,0.259136583293364,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"medium","tur",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,19,0.12044,0.16324,0.11336,0.06068,861.762597330532,0.0206536628369749,18.3374703921939,2.9352132842034,0.0910507719036316,0.244405745496668,0.265971172369763,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"high","group",0,3,3,1,0.6,0.4,1,3,1,Inf,0,"0_3_3_1_0.6_0.4_1_3_1_Inf_0",-17.2514703710267,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3543502415926
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"high","gut",0,3,3,1,0.6,0.4,1,3,1,Inf,0,"0_3_3_1_0.6_0.4_1_3_1_Inf_0",NA,34,0.3116,0.37156,0.28712,0.21284,423.480549760715,0.0925259225668087,69.4807259801851,1.65384513381695,0.353958435997591,0.689896801390569,0.171584638247175,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"high","whg",0,3,3,1,0.6,0.4,1,3,1,Inf,0,"0_3_3_1_0.6_0.4_1_3_1_Inf_0",NA,34,0.48876,0.51284,0.45804,0.39824,187.46924296019,0.0820571918010797,97.3214302708104,0.885954804194696,0.208193239502325,0.465276855140482,0.204683940030833,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"high","bll",0,3,3,1,0.6,0.4,1,3,1,Inf,0,"0_3_3_1_0.6_0.4_1_3_1_Inf_0",NA,34,0.46792,0.49428,0.45124,0.39924,250.099491302005,0.0771014247710078,66.4209588170685,1.06271294381381,0.191355000865608,0.462847531725727,0.196618754356585,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"high","lem",0,3,3,1,0.6,0.4,1,3,1,Inf,0,"0_3_3_1_0.6_0.4_1_3_1_Inf_0",NA,34,0.31268,0.36812,0.28492,0.20816,429.447209284017,0.0995356879914442,94.4224794284116,1.7192684430934,0.331879491538962,0.655742866195866,0.179504764653909,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"high","ane",0,3,3,1,0.6,0.4,1,3,1,Inf,0,"0_3_3_1_0.6_0.4_1_3_1_Inf_0",NA,34,0.48484,0.49936,0.4496,0.4,197.444039084797,0.0740261002038783,141.186055867419,1.00857665010104,0.187187208847153,0.426430404725294,0.197589545791127,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"high","jnd",0,3,3,1,0.6,0.4,1,3,1,Inf,0,"0_3_3_1_0.6_0.4_1_3_1_Inf_0",NA,34,0.622,0.63628,0.60928,0.57728,0,0,0,0,0,0,0.240640174752446,NA
