"scenario_name","fhist","stock","iter","lag_idx","range_idx_1","range_idx_2","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","fitness_improvement"
"rfb: PA - all","random","sbb",10,1,2,3,1,1,1,2,0.65,Inf,0,31
"rfb: PA - all","random","ple",19,0,4,2,0.9,1,0.6,3,0.71,Inf,0.05,41
"rfb: PA - all","random","syc2",47,1,3,5,1.2,0.9,1.3,3,0.78,3.82,0.19,34
"rfb: PA - all","random","arg",14,1,3,4,1,0.8,0.9,3,0.72,Inf,0.17,25
"rfb: PA - all","random","tur",37,0,2,2,0.9,0.9,0.9,1,0.96,Inf,0.47,59
"rfb: PA - all","random","gut",14,0,2,3,1,1,1.1,2,0.67,Inf,0,30
"rfb: PA - all","random","whg",29,0,2,3,0.7,0.8,0.7,2,0.58,Inf,0.29,19
"rfb: PA - all","random","bll",30,1,3,3,0.1,0.9,1.5,2,0.57,Inf,0.08,23
"rfb: PA - all","random","lem",11,1,2,3,0.3,0,0.3,1,0.68,Inf,0,32
"rfb: PA - all","random","ane",13,1,2,3,0.4,1,0.7,1,0.33,Inf,0.75,15
"rfb: PA - all","random","jnd",10,0,2,1,0.6,1.3,0.8,1,0.38,1.14,0.26,26
"rfb: PA - all","random","sar",10,0,2,1,0.6,1.3,0.8,1,0.38,1.14,0.26,21
"rfb: PA - all","random","her",19,1,2,3,0.6,0.8,0.6,1,0.26,Inf,0.56,19
"rfb: PA - all","random","san",10,0,2,1,0.6,1.3,0.8,1,0.38,1.14,0.26,28
"rfb (capped): PA - mult","one-way","ang3",1,1,2,3,1,1,1,2,0.83,1.2,0.7,69
"rfb (capped): PA - mult","one-way","rjc2",1,1,2,3,1,1,1,2,0.81,1.2,0.7,69
"rfb (capped): PA - mult","one-way","smn",1,1,2,3,1,1,1,2,0.63,1.2,0.7,46
"rfb (capped): PA - mult","one-way","wlf",1,1,2,3,1,1,1,2,0.74,1.2,0.7,-41
"rfb (capped): PA - mult","one-way","meg",1,1,2,3,1,1,1,2,0.51,1.2,0.7,-42
"rfb (capped): PA - mult","one-way","lin",1,1,2,3,1,1,1,2,0.38,1.2,0.7,29
"rfb (capped): PA - mult","one-way","rjc",1,1,2,3,1,1,1,2,1.09,1.2,0.7,8
"rfb (capped): PA - mult","one-way","syc",1,1,2,3,1,1,1,2,0.34,1.2,0.7,25
"rfb (capped): PA - mult","one-way","sdv",1,1,2,3,1,1,1,2,0.38,1.2,0.7,22
"rfb (capped): PA - mult","one-way","ang",1,1,2,3,1,1,1,2,1.03,1.2,0.7,5
"rfb (capped): PA - mult","one-way","ang2",1,1,2,3,1,1,1,2,1.03,1.2,0.7,6
"rfb (capped): PA - mult","one-way","pol",1,1,2,3,1,1,1,2,1.11,1.2,0.7,9
"rfb (capped): PA - mult","one-way","had",1,1,2,3,1,1,1,2,1.28,1.2,0.7,23
"rfb (capped): PA - mult","one-way","nep",1,1,2,3,1,1,1,2,1.28,1.2,0.7,28
"rfb (capped): PA - mult","one-way","mut",1,1,2,3,1,1,1,2,1.24,1.2,0.7,32
"rfb (capped): PA - mult","one-way","sbb",1,1,2,3,1,1,1,2,1.12,1.2,0.7,16
"rfb (capped): PA - mult","one-way","ple",1,1,2,3,1,1,1,2,1.21,1.2,0.7,29
"rfb (capped): PA - mult","one-way","syc2",1,1,2,3,1,1,1,2,0.5,1.2,0.7,27
"rfb (capped): PA - mult","one-way","arg",1,1,2,3,1,1,1,2,1.08,1.2,0.7,10
"rfb (capped): PA - mult","one-way","tur",1,1,2,3,1,1,1,2,1.31,1.2,0.7,29
"rfb (capped): PA - mult","one-way","gut",1,1,2,3,1,1,1,2,1.07,1.2,0.7,11
"rfb (capped): PA - mult","one-way","whg",1,1,2,3,1,1,1,2,0.92,1.2,0.7,18
"rfb (capped): PA - mult","one-way","bll",1,1,2,3,1,1,1,2,0.84,1.2,0.7,11
"rfb (capped): PA - mult","one-way","lem",1,1,2,3,1,1,1,2,1.08,1.2,0.7,13
"rfb (capped): PA - mult","one-way","ane",1,1,2,3,1,1,1,2,0.95,1.2,0.7,13
"rfb (capped): PA - mult","one-way","jnd",1,1,2,3,1,1,1,2,0.61,1.2,0.7,15
"rfb (capped): PA - mult","one-way","sar",1,1,2,3,1,1,1,2,0.59,1.2,0.7,13
"rfb (capped): PA - mult","one-way","her",1,1,2,3,1,1,1,2,0.64,1.2,0.7,15
"rfb (capped): PA - mult","one-way","san",1,1,2,3,1,1,1,2,0.49,1.2,0.7,15
"rfb (capped): PA - mult","random","ang3",1,1,2,3,1,1,1,2,1.08,1.2,0.7,2
"rfb (capped): PA - mult","random","rjc2",1,1,2,3,1,1,1,2,1.05,1.2,0.7,2
"rfb (capped): PA - mult","random","smn",1,1,2,3,1,1,1,2,0.62,1.2,0.7,36
"rfb (capped): PA - mult","random","wlf",1,1,2,3,1,1,1,2,1.24,1.2,0.7,17
"rfb (capped): PA - mult","random","meg",1,1,2,3,1,1,1,2,1.73,1.2,0.7,-36
"rfb (capped): PA - mult","random","lin",1,1,2,3,1,1,1,2,1.08,1.2,0.7,2
"rfb (capped): PA - mult","random","rjc",1,1,2,3,1,1,1,2,0.36,1.2,0.7,15
"rfb (capped): PA - mult","random","syc",1,1,2,3,1,1,1,2,0.48,1.2,0.7,22
"rfb (capped): PA - mult","random","sdv",1,1,2,3,1,1,1,2,0.35,1.2,0.7,9
"rfb (capped): PA - mult","random","ang",1,1,2,3,1,1,1,2,0.34,1.2,0.7,27
"rfb (capped): PA - mult","random","ang2",1,1,2,3,1,1,1,2,0.46,1.2,0.7,30
"rfb (capped): PA - mult","random","pol",1,1,2,3,1,1,1,2,0.41,1.2,0.7,30
"rfb (capped): PA - mult","random","had",1,1,2,3,1,1,1,2,0.38,1.2,0.7,41
"rfb (capped): PA - mult","random","nep",1,1,2,3,1,1,1,2,0.5,1.2,0.7,46
"rfb (capped): PA - mult","random","mut",1,1,2,3,1,1,1,2,0.3,1.2,0.7,39
"rfb (capped): PA - mult","random","sbb",1,1,2,3,1,1,1,2,0.29,1.2,0.7,28
"rfb (capped): PA - mult","random","ple",1,1,2,3,1,1,1,2,0.42,1.2,0.7,37
"rfb (capped): PA - mult","random","syc2",1,1,2,3,1,1,1,2,0.73,1.2,0.7,25
"rfb (capped): PA - mult","random","arg",1,1,2,3,1,1,1,2,0.65,1.2,0.7,18
"rfb (capped): PA - mult","random","tur",1,1,2,3,1,1,1,2,0.42,1.2,0.7,49
"rfb (capped): PA - mult","random","gut",1,1,2,3,1,1,1,2,0.31,1.2,0.7,28
