"parameters","objective","scenario","catch_rule","stat_yrs","fhist","stock","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"none","MSY-PA","GA","hr","all","one-way","smn",1,1,1,1.4,1,1,Inf,0,0.0612,0.215,0.00912,0,299.996308960876,0.0916463474621877,58.5089491300714,1.31663525266303,0.86218895837102,1.13401872315056,0.254160888951869,-3.93309639589444,NA,3.22828153112897
"none","MSY-PA","GA","hr","all","random","smn",1,1,1,1.4,1,1,Inf,0,0.45568,0.60356,0.3104,0.0382,180.397401905112,0.123302190117322,55.4631609586976,0.791735003873222,1.1600002597592,1.07498534681338,0.240897111554282,-5.52414745449444,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","smn",1,1,1,1.4,1,1,1.2,0.7,0.04144,0.1434,0.00508,0,335.789215754295,0.0807336253322681,55.9499118401568,1.4737245283369,0.759524435596997,1.08441953801476,0.2,-0.758610378475527,NA,0.000466312123869064
"none","MSY-PA","GA_cond_cap","hr","all","random","smn",1,1,1,1.4,1,1,1.2,0.7,0.38288,0.53816,0.24628,0.01992,210.643093049974,0.114392956595119,55.134496219317,0.924478447752316,1.07618412323983,1.06861517654646,0.2,-5.34413672879415,NA,5
"mult","MSY","GA","hr","all","one-way","smn",1,1,1,1.4,1,1.22,Inf,0,0.19936,0.4896,0.05972,0,230.124000799731,0.118559997404455,62.0229031356235,1.009976999338,1.11538673932197,1.20212607585189,0.282250463162025,-0.693713538351917,1,NA
"mult","MSY","GA","hr","all","random","smn",1,1,1,1.4,1,0.87,Inf,0,0.3434,0.5,0.21084,0.01564,227.843580018634,0.107876362695949,54.2488361400619,0.999968601562383,1.0148774213184,1.05144933906082,0.222303342428446,-0.617184079926888,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","smn",1,1,1,1.4,1,1.35,1.2,0.7,0.20388,0.4906,0.06516,0,229.838374253045,0.118056403802521,61.8570596846394,1.00872343064655,1.11064903994696,1.19891170298545,0.2,-0.611515133631999,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","smn",1,1,1,1.4,1,0.94,1.2,0.7,0.33424,0.49196,0.20096,0.01152,231.147954663289,0.107650865455447,54.5624727252695,1.01447096714224,1.01275599219123,1.05752823408763,0.2,-0.606239201229874,1,NA
"mult","MSY-PA","GA","hr","all","one-way","smn",1,1,1,1.4,1,0.95,Inf,0,0.04616,0.16624,0.00596,0,319.180258559853,0.0854965374580652,57.1464270030608,1.40083050298065,0.804332879776924,1.10761035954618,0.24866657837822,-0.76204171638266,1,0.00493427547760453
"mult","MSY-PA","GA","hr","all","random","smn",1,1,1,1.4,1,0.41,Inf,0,0.051,0.10328,0.02304,0,516.119282573138,0.0405922379762694,35.2771272095544,2.26516400941309,0.381882970220369,0.683740237167203,0.201818946489393,-1.83817743188824,1,0.0549347131529657
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","smn",1,1,1,1.4,1,1.03,1.2,0.7,0.04716,0.16156,0.00648,0,325.125319233425,0.0838392868457322,56.7291820204375,1.42692241220833,0.788741825482081,1.09952332962221,0.2,-0.734575781963925,1,0.00813004013338907
"mult","MSY-PA","GA_cond_cap","hr","all","random","smn",1,1,1,1.4,1,0.44,1.2,0.7,0.05132,0.1048,0.02336,0,513.87042729254,0.0413210344716197,36.1790704301506,2.25529414751102,0.388739329569004,0.701221674017162,0.198154777790265,-1.81657107226439,1,0.0643438209802623
"all","MSY-PA","GA","hr","all","one-way","smn",1,4,1,0.3,1,0.91,1.65,0.66,0.0482,0.18028,0.00476,0,313.149926993884,0.0861350016654874,56.2387672459461,1.37436435360534,0.810339412554258,1.09001812495434,0.0520283564492672,-0.530070638824005,11,0.0136598038150553
"all","MSY-PA","GA","hr","all","random","smn",1,5,1,1.6,3,0.44,2.58,0.34,0.0488,0.10112,0.02192,0,506.214654607774,0.043682732765987,37.5091166192804,2.22169420010483,0.410957674858184,0.727000589953169,0.097036486235434,-1.61015129588428,19,0.0184211994971799
"all","MSY-PA","GA_cond_cap","hr","all","one-way","smn",0,4,1,1.2,1,0.9,1.2,0.7,0.04676,0.16984,0.0048,0,319.939277549554,0.084391483107689,56.1440872656663,1.40416171449703,0.793936768140426,1.08818304037427,0.0560513261868237,-0.555054357434426,24,0.00665827637630218
"all","MSY-PA","GA_cond_cap","hr","all","random","smn",1,4,1,1.9,2,0.47,1.2,0.7,0.0476,0.1036,0.02168,0,491.14598622702,0.0458556180747882,39.1716467678832,2.15556025309225,0.431399708533645,0.759223700167071,0.101115325076175,-1.5075784799466,24,0.0101266019452494
"none","MSY","GA","hr","all","one-way","wlf",1,1,1,1.4,1,1,Inf,0,0.00512,0.17664,0.00104,0,373.661273610012,0.0583760410063311,29.2689540042851,1.32220147277142,0.793996806114618,1.05474437203943,0.218221595661823,-0.600287440472674,NA,NA
"none","MSY","GA","hr","all","random","wlf",1,1,1,1.4,1,1,Inf,0,0.41448,0.6734,0.35384,0,196.730170228281,0.105325128445683,28.2653904348218,0.696130263383642,1.43257086550995,1.01857966910129,0.22376410419319,-0.960693509910835,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","wlf",1,1,1,1.4,1,1,1.2,0.7,0.00584,0.14996,0.00128,0,395.96252812031,0.0546249672288536,29.1885566720419,1.40111452488755,0.742976891994467,1.05184715085079,0.2,-0.658801675738344,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","wlf",1,1,1,1.4,1,1,1.2,0.7,0.36656,0.62844,0.30564,0,217.662637595181,0.0983882522163588,28.596148883594,0.77019985832417,1.33821952760579,1.03049897487135,0.2,-0.82685911654718,NA,NA
