"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","sigmaL","sigmaB","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","sigmaR","sigmaR_rho","file"
1,2,3,1,1,1,1,2,0.16,Inf,0,0.4,0.4,0.0316,0.0638,0.02608,0,1052.77902916813,2.73382106437843e-11,4.09301612828348e-08,3.70525323784429,2.36539967589825e-10,8.47674957864579e-10,0.798580185963335,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.16_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.16,Inf,0,0.6,0.6,0.03224,0.065,0.027,0,1052.0036405353,2.37028743996358e-11,3.44992483653703e-08,3.70252425943306,2.0508573934594e-10,7.14488973116733e-10,0.804517385187723,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.16_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.17,Inf,0,0.2,0.2,0.03124,0.06336,0.02588,0,1053.2023626571,6.16713572809652e-11,9.05590918108407e-08,3.70674315903118,5.33602620981222e-10,1.8755038321142e-09,0.783252975407149,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.17_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.17,Inf,0,0.4,0.4,0.03184,0.06408,0.02636,0,1052.51551947274,5.94132687108207e-11,8.75424009312805e-08,3.70432581611093,5.14064831761708e-10,1.81302732984608e-09,0.786034073535695,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.17_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.17,Inf,0,0.6,0.6,0.03272,0.06552,0.02724,0,1051.6167211743,5.3482760202227e-11,7.76267235255525e-08,3.70116249768114,4.62751952923645e-10,1.60767090896571e-09,0.792751419705343,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.17_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.18,Inf,0,0.2,0.2,0.0314,0.06376,0.026,0,1052.95220470565,1.30298506068161e-10,1.89287151639748e-07,3.70586272872823,1.12738923567307e-09,3.9201892507035e-09,0.770568255442365,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.18_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.18,Inf,0,0.4,0.4,0.032,0.0646,0.0266,0,1052.18975799523,1.24667330196757e-10,1.81638613644432e-07,3.70317929938153,1.0786662897762e-09,3.76178591390491e-09,0.773537055220113,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.18_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.18,Inf,0,0.6,0.6,0.03296,0.06604,0.02756,0,1051.2835542777,1.116056921032e-10,1.64087342183533e-07,3.69998991759724,9.65652329514591e-10,3.39829422880553e-09,0.781296140719516,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.18_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.19,Inf,0,0.2,0.2,0.03164,0.06388,0.02616,0,1052.63594542612,2.63087111402094e-10,3.8120225138968e-07,3.70474965496157,2.27632370001147e-09,7.89480403342915e-09,0.757841953628874,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.19_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.19,Inf,0,0.4,0.4,0.03204,0.06492,0.02668,0,1051.83430415966,2.5390378457381e-10,3.65135162239768e-07,3.70192828047001,2.19686627470178e-09,7.56205017438511e-09,0.761085105624628,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.19_Inf_0_0.4_0.4"
