"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","fhist"
1,2,3,1,1,1,1,2,0.56,Inf,0,0.01104,0.11964,0.0104,0,940.721586579192,4.26890216896888e-07,0.000431610823324873,2.9065385463732,5.53332352950373e-06,1.69693978768822e-05,0.544127593721222,"meg","one-way"
1,2,3,1,1,1,1,2,0.57,Inf,0,0.01112,0.11996,0.01068,0,940.226234727716,5.35932062863537e-07,0.000536218088245043,2.90500806246503,6.9467169222446e-06,2.10821823653903e-05,0.536148362727562,"meg","one-way"
1,2,3,1,1,1,1,2,0.58,Inf,0,0.01124,0.12036,0.01084,0,939.695958194035,6.67009588931373e-07,0.000668748717128893,2.90336967209813,8.64573538289835e-06,2.6292813913225e-05,0.528036122988323,"meg","one-way"
1,2,3,1,1,1,1,2,0.59,Inf,0,0.01132,0.1208,0.01092,0,939.251601297203,8.24565159560692e-07,0.000825038240450527,2.90199674681672,1.06879605538213e-05,3.24375604346458e-05,0.519924635353232,"meg","one-way"
1,2,3,1,1,1,1,2,0.6,Inf,0,0.0116,0.12136,0.01092,0,938.69429837608,1.01942222046102e-06,0.00100677386803118,2.90027485327738,1.32136852420266e-05,3.9582757000997e-05,0.511808265548741,"meg","one-way"
1,2,3,1,1,1,1,2,0.61,Inf,0,0.01172,0.12204,0.01112,0,938.178664518206,1.25917289301864e-06,0.0012490886462738,2.89868170424677,1.63213180365205e-05,4.91097096658342e-05,0.503998795419811,"meg","one-way"
1,2,3,1,1,1,1,2,0.62,Inf,0,0.01192,0.1226,0.0112,0,937.557261114943,1.53870291811512e-06,0.00152468377912517,2.89676176005691,1.99445682396112e-05,5.99451271520334e-05,0.496082315500896,"meg","one-way"
1,2,3,1,1,1,1,2,0.63,Inf,0,0.01212,0.12312,0.01148,0,937.163123947392,1.88506973196725e-06,0.00186044569286821,2.89554399819581,2.44341525989318e-05,7.31460878284073e-05,0.488036960495183,"meg","one-way"
1,2,3,1,1,1,1,2,0.64,Inf,0,0.01224,0.12344,0.0116,0,936.515116072382,2.29942313250722e-06,0.00226326206273053,2.89354185442242,2.98049747213125e-05,8.8983390514327e-05,0.479936350748593,"meg","one-way"
1,2,3,1,1,1,1,2,0.65,Inf,0,0.01244,0.12372,0.0118,0,935.924777801626,2.79228269217201e-06,0.00273257775512048,2.89171789187725,3.61933886279557e-05,0.000107435209337311,0.471896105138398,"meg","one-way"
1,2,3,1,1,1,1,2,0.66,Inf,0,0.01264,0.12432,0.01204,0,935.295777142843,3.37791561705334e-06,0.00332102193723702,2.8897744745192,4.37843249264108e-05,0.000130570735406258,0.46386803408643,"meg","one-way"
1,2,3,1,1,1,1,2,0.67,Inf,0,0.01292,0.12464,0.01216,0,934.646017546199,4.05475876651938e-06,0.00400050292479893,2.88776691846812,5.25575222883651e-05,0.000157285503907408,0.45593765750978,"meg","one-way"
1,2,3,1,1,1,1,2,0.68,Inf,0,0.01316,0.12536,0.01224,0,934.07483506305,4.87722549838447e-06,0.00483606941512831,2.88600214137788,6.32182831573882e-05,0.000190136997569597,0.447946383949219,"meg","one-way"
1,2,3,1,1,1,1,2,0.69,Inf,0,0.01332,0.12592,0.01264,0,933.397500123809,5.8827638069847e-06,0.00577714799095657,2.88390938605283,7.62520060270293e-05,0.00022713685003766,0.439956550454801,"meg","one-way"
1,2,3,1,1,1,1,2,0.7,Inf,0,0.01344,0.12632,0.0128,0,932.799829747516,7.03489146219926e-06,0.00685887093423001,2.88206276957086,9.118581057737e-05,0.000269666337309443,0.432133253452379,"meg","one-way"
1,2,3,1,1,1,1,2,0.71,Inf,0,0.01352,0.12688,0.01292,0,932.222753808986,8.40866099521483e-06,0.00815680758537026,2.88027978352754,0.000108992522889511,0.000320696576269898,0.42462425846231,"meg","one-way"
1,2,3,1,1,1,1,2,0.72,Inf,0,0.01372,0.12732,0.01308,0,931.533422836858,9.98796484108608e-06,0.00977471017446489,2.87814996417367,0.000129463357742833,0.000384306734488102,0.416943648292375,"meg","one-way"
1,2,3,1,1,1,1,2,0.73,Inf,0,0.014,0.12776,0.01344,0,931.022320439276,1.18941426552789e-05,0.0116170487080506,2.87657081595286,0.000154171111945686,0.000456740913407651,0.409352368699551,"meg","one-way"
1,2,3,1,1,1,1,2,0.74,Inf,0,0.01408,0.12836,0.01348,0,930.224622276346,1.40274621280238e-05,0.0137856204617087,2.87410617551939,0.000181823061714634,0.000542001418760393,0.401992334838085,"meg","one-way"
1,2,3,1,1,1,1,2,0.75,Inf,0,0.01432,0.12928,0.01376,0,929.51560133437,1.65221701570091e-05,0.0161271055747153,2.87191552025279,0.000214159306701388,0.000634060260564503,0.3948484280778,"meg","one-way"
1,2,3,1,1,1,1,2,0.76,Inf,0,0.01448,0.12976,0.014,0,928.686287501183,1.94319315741581e-05,0.0188419919375641,2.86935319718337,0.000251875447005071,0.000740799907468645,0.38769292921772,"meg","one-way"
1,2,3,1,1,1,1,2,0.77,Inf,0,0.0146,0.13032,0.01416,0,927.803724838843,2.29628336953859e-05,0.0220032410657683,2.86662635171253,0.000297642773156946,0.00086508894598533,0.380814170797734,"meg","one-way"
1,2,3,1,1,1,1,2,0.78,Inf,0,0.01472,0.13092,0.01428,0,927.064784948595,2.68378488584167e-05,0.0254536563270096,2.86434325615578,0.000347870470419826,0.00100074696530334,0.373720274292704,"meg","one-way"
1,2,3,1,1,1,1,2,0.79,Inf,0,0.01512,0.1318,0.01444,0,926.266251739007,3.15303507892086e-05,0.0297482025576926,2.86187603568658,0.000408694378577375,0.00116959320304996,0.366587816787452,"meg","one-way"
1,2,3,1,1,1,1,2,0.8,Inf,0,0.0154,0.13216,0.01464,0,925.575455080168,3.67228936586928e-05,0.0347397793580079,2.85974168781441,0.000475999785214543,0.00136584419625967,0.359522961279792,"meg","one-way"
1,2,3,1,1,1,1,2,0.81,Inf,0,0.01576,0.13288,0.01496,0,924.627574884312,4.27827991314404e-05,0.040165232216778,2.85681303138098,0.00055454789011764,0.00157915364831073,0.353041237097958,"meg","one-way"
1,2,3,1,1,1,1,2,0.82,Inf,0,0.01604,0.13352,0.01516,0,923.677108635375,4.95605954383618e-05,0.0464050222230753,2.85387638484393,0.000642401249831269,0.00182447993199698,0.346354530248515,"meg","one-way"
1,2,3,1,1,1,1,2,0.83,Inf,0,0.01624,0.13408,0.01552,0,922.716486894338,5.72654863874092e-05,0.0539919093407093,2.85090836097944,0.000742271550655994,0.00212276926856724,0.340165889677861,"meg","one-way"
1,2,3,1,1,1,1,2,0.84,Inf,0,0.01644,0.13472,0.01568,0,921.72942757216,6.62530217681449e-05,0.0624878981663663,2.84785865317173,0.000858767406091547,0.00245680124123537,0.334152840254171,"meg","one-way"
1,2,3,1,1,1,1,2,0.85,Inf,0,0.01672,0.13512,0.01608,0,920.615522167173,7.69715050488213e-05,0.0717300629235313,2.84441703022739,0.000997699696853986,0.00282017018967803,0.328404336870014,"meg","one-way"
1,2,3,1,1,1,1,2,0.86,Inf,0,0.01696,0.13568,0.01624,0,919.423909538402,8.92701580287136e-05,0.0819851169182485,2.84073531601217,0.0011571140456051,0.00322336232963574,0.32206397692071,"meg","one-way"
1,2,3,1,1,1,1,2,0.87,Inf,0,0.01728,0.13612,0.01656,0,918.372571213771,0.000102733169233331,0.0944230816239288,2.83748700598144,0.00133162073076176,0.0037123787315957,0.316923849502228,"meg","one-way"
1,2,3,1,1,1,1,2,0.88,Inf,0,0.01744,0.13652,0.01688,0,917.03772461603,0.000117523521663716,0.108065141795199,2.83336274313345,0.00152333232749874,0.00424873587186234,0.311656148473624,"meg","one-way"
1,2,3,1,1,1,1,2,0.89,Inf,0,0.01784,0.1374,0.01708,0,915.74220073913,0.000135213705400308,0.124035349567235,2.82935997532235,0.00175263135108019,0.004876627470531,0.306282390572433,"meg","one-way"
1,2,3,1,1,1,1,2,0.9,Inf,0,0.01816,0.13812,0.0176,0,914.583267213975,0.000153899745260073,0.141253496855217,2.82577922942303,0.00199483859766663,0.00555358359916033,0.301092073181544,"meg","one-way"
1,2,3,1,1,1,1,2,0.91,Inf,0,0.0184,0.13892,0.01792,0,913.208535879232,0.000175887837144752,0.161045574110214,2.82153173508215,0.00227984683017849,0.00633173747204697,0.296820179128646,"meg","one-way"
1,2,3,1,1,1,1,2,0.92,Inf,0,0.01892,0.1396,0.01816,0,911.851309340492,0.000201722816083766,0.184217824413134,2.81733832514314,0.00261471816521778,0.00724278769100075,0.291233268035278,"meg","one-way"
1,2,3,1,1,1,1,2,0.93,Inf,0,0.01908,0.14028,0.0184,0,910.108997245073,0.000230379856533508,0.208356146463727,2.81195512001912,0.0029861688800155,0.00819182040478075,0.288052984306038,"meg","one-way"
1,2,3,1,1,1,1,2,0.94,Inf,0,0.01924,0.14092,0.01868,0,908.932776025866,0.000264904109935353,0.236063889567434,2.80832096049577,0.00343367003165965,0.00928119002108284,0.284301618672925,"meg","one-way"
1,2,3,1,1,1,1,2,0.95,Inf,0,0.01956,0.14164,0.01884,0,907.191890569096,0.000301440584882231,0.266738943836651,2.80294216324363,0.00390725346952399,0.0104872237270483,0.280465329116442,"meg","one-way"
1,2,3,1,1,1,1,2,0.96,Inf,0,0.01992,0.14252,0.01904,0,905.365267352224,0.000341866004455343,0.300460470536701,2.79729846284887,0.00443124515745717,0.0118130338612356,0.277069243746137,"meg","one-way"
1,2,3,1,1,1,1,2,0.97,Inf,0,0.0202,0.1432,0.0194,0,903.929316963268,0.000390288750137635,0.340378078046491,2.79286182057795,0.00505889767194831,0.0133824517894255,0.273055039222193,"meg","one-way"
1,2,3,1,1,1,1,2,0.98,Inf,0,0.02052,0.14384,0.01976,0,901.592932092772,0.000444252752428521,0.382590684444199,2.78564311444625,0.00575837559813015,0.0150421008868805,0.269544280057686,"meg","one-way"
1,2,3,1,1,1,1,2,0.99,Inf,0,0.02092,0.14472,0.0202,0,899.151965522079,0.000502977152673639,0.429718989558165,2.7781012832293,0.00651955749635762,0.0168950177219619,0.266945155346943,"meg","one-way"
1,2,3,1,1,1,1,2,1,Inf,0,0.02132,0.14536,0.0204,0,896.26307915596,0.00056643294582891,0.482726565698551,2.769175518477,0.00734206740511525,0.0189790865205292,0.264710574924246,"meg","one-way"
